place,team,total_points,60,200,400,800,1Mile,3000,5000,60H,4x4R,DMR,HJ,PV,LJ,TJ,SP,WT,Hep,year,season
1,Oregon,79.0,14.0,,,10.0,14.0,18.0,,,,10.0,,,,10.0,,,3.0,2021,Indoor
2,LSU,56.0,,8.0,10.0,,0.0,,,14.0,0.0,,10.0,,10.0,4.0,,0.0,,2021,Indoor
3,Georgia,35.0,,10.0,0.0,,,,,,5.0,,,,2.0,,,,18.0,2021,Indoor
4,Florida,34.0,8.0,7.0,5.0,,,,,,4.0,,,,0.0,0.0,,10.0,,2021,Indoor
5,N. Carolina A&T,30.0,5.0,5.0,10.0,,,,,0.0,10.0,,,,0.0,,,,,2021,Indoor
6,Florida State,23.0,0.0,0.0,,,,,5.0,6.0,,,,,12.0,,,,,2021,Indoor
7,Alabama,22.0,,,3.0,,8.0,,,,0.0,0.0,,,,5.0,0.0,4.0,2.0,2021,Indoor
7,Arkansas,22.0,,,,2.0,,5.0,0.0,6.0,3.0,3.0,,0.0,3.0,,,0.0,0.0,2021,Indoor
9,Tennessee,21.0,,,,,,,,,6.0,0.0,,,6.0,6.0,3.0,,,2021,Indoor
10,Ole Miss,20.0,,,,0.0,6.0,6.0,,,,8.0,0.0,,0.0,,,,,2021,Indoor
11,USC,17.0,1.0,0.0,,,,,,,,,8.0,,,,8.0,,,2021,Indoor
12,North Dakota State,15.0,,,,,,,,,,,,,,,7.0,8.0,,2021,Indoor
13,Iowa State,14.0,,,,4.0,,,10.0,,,0.0,,,,,,,,2021,Indoor
14,Kentucky,12.0,,3.0,1.0,,,,,,8.0,,,,,,,,,2021,Indoor
14,Texas,12.0,,4.0,,,1.0,,,,1.0,6.0,,,,,0.0,,0.0,2021,Indoor
16,BYU,11.0,,,,,0.0,,,,,,,11.0,,,,,,2021,Indoor
16,Virginia Tech,11.0,,,6.0,1.0,0.0,0.0,,,0.0,4.0,,,,,,,,2021,Indoor
18,Baylor,10.0,,,,,,,,,,,,10.0,,,,,,2021,Indoor
18,Michigan,10.0,,,,,2.0,0.0,0.0,,,,,,,,2.0,,6.0,2021,Indoor
18,North Carolina,10.0,,,0.0,,,,,,,5.0,,,,,5.0,,,2021,Indoor
18,Arizona State,10.0,,,,,,,,0.0,,,,,,,10.0,,,2021,Indoor
22,Indiana,9.0,6.0,,,0.0,,,1.0,,,2.0,,0.0,,,,,,2021,Indoor
22,Miami (Ohio),9.0,,,,8.0,,,,,,1.0,,,,,,,,2021,Indoor
22,South Dakota,9.0,,,,,,,,0.0,,,,9.0,,,,,,2021,Indoor
25,Minnesota,8.0,,,,,,4.0,2.0,,,,,,,,,2.0,,2021,Indoor
25,Arizona,8.0,,,,,,,,,,,,,,,0.0,8.0,,2021,Indoor
25,Colorado St.,8.0,,,,,,,8.0,,,,,,,,,,,2021,Indoor
25,Iowa,8.0,,,0.0,,,,,8.0,,,,,,,,,0.0,2021,Indoor
