place,team,total_points,100,200,400,800,1500,3000SC,5000,10000,110H,400H,4x1R,4x4R,HJ,PV,LJ,TJ,SP,DT,HT,JT,Dec,year,season
1,LSU,84.0,10.0,8.0,6.0,,,,,,1.0,10.0,10.0,0.0,10.0,,12.0,5.0,,,2.0,10.0,,2021,Outdoor
2,Oregon,53.0,6.0,,,6.0,10.0,0.0,15.0,,,2.0,0.0,,,,,13.0,,,,0.0,1.0,2021,Outdoor
3,N. Carolina A&T,35.0,0.0,0.0,15.0,0.0,,,,,0.0,0.0,5.0,10.0,,,5.0,,,,,,,2021,Outdoor
4,Florida,34.5,2.0,10.0,3.0,,,,,,,0.0,,2.0,3.5,,,4.0,0.0,,10.0,,,2021,Outdoor
5,USC,33.0,4.0,3.0,0.0,10.0,,,,,3.0,6.0,0.0,5.0,2.0,,,0.0,0.0,,0.0,,,2021,Outdoor
6,Texas A&M,29.0,0.0,0.0,8.0,8.0,,,,,,5.0,2.0,6.0,,,,,,,,0.0,,2021,Outdoor
6,Texas,29.0,,5.0,0.0,2.0,,,,,,1.0,3.0,0.0,,,4.0,1.0,8.0,,,,5.0,2021,Outdoor
8,Georgia,25.0,3.0,4.0,0.0,,,,,,,0.0,8.0,,,,,,,,0.0,,10.0,2021,Outdoor
9,Arizona State,24.0,,,,,,,,,4.0,,0.0,,,,,,10.0,10.0,,0.0,,2021,Outdoor
10,Florida State,23.5,6.0,2.0,,,,,,1.0,,,6.0,0.0,0.5,,8.0,0.0,,0.0,,,,2021,Outdoor
11,Tennessee,21.0,,,0.0,0.0,,,,,,,,0.0,5.0,,6.0,10.0,0.0,,0.0,,,2021,Outdoor
12,Iowa,19.0,,,0.0,,,0.0,,,13.0,0.0,0.0,4.0,,,0.0,,,,,,2.0,2021,Outdoor
13,Alabama,18.0,,,0.0,,5.0,,0.0,0.0,10.0,,,0.0,,3.0,,0.0,0.0,,0.0,,,2021,Outdoor
13,Stephen F. Austin,18.0,,,0.0,,,,,,,,,8.0,,10.0,,,,,,0.0,,2021,Outdoor
15,Kentucky,17.0,0.0,0.0,4.0,,,,,,0.0,0.0,0.0,1.0,,8.0,0.0,,4.0,0.0,,,,2021,Outdoor
15,Miss State,17.0,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,17.0,,2021,Outdoor
17,BYU,16.0,,,1.0,,0.0,5.0,0.0,8.0,,0.0,0.0,0.0,,0.0,,,,0.0,,2.0,0.0,2021,Outdoor
18,Houston,15.0,8.0,6.0,,,,,,,0.0,0.0,1.0,,,0.0,0.0,,,,,,,2021,Outdoor
18,Auburn,15.0,,,,1.0,,,,,,4.0,,,,,,,,,,6.0,4.0,2021,Outdoor
20,Clemson,14.0,,0.0,,0.0,,,,,2.0,,4.0,0.0,,,,,,8.0,,,,2021,Outdoor
20,Minnesota,14.0,,,,,,8.0,,,,,,,,,,,0.0,0.0,6.0,,0.0,2021,Outdoor
20,Northern Arizona,14.0,,,,,,,8.0,6.0,,,,,,,,,,,,,,2021,Outdoor
23,Kansas,13.5,,,,,,,,,,,,,,5.5,,,,,8.0,,,2021,Outdoor
24,Michigan,13.0,,,,,0.0,0.0,,,0.0,,,0.0,,,,,5.0,,,,8.0,2021,Outdoor
24,Georgetown,13.0,,,,,3.0,1.0,4.0,5.0,,,,,,,,,,,,,,2021,Outdoor
24,Tulsa,13.0,,,,,,,3.0,10.0,,,,,,,,,,,,,,2021,Outdoor
