place,team_w,total_points,60,200,400,800,1Mile,3000,5000,60H,4x4R,DMR,HJ,PV,LJ,TJ,SP,WT,Pent,year,season
1,Arkansas,68.0,2.0,0.0,5.0,6.0,14.0,17.0,0.0,8.0,6.0,8.0,,1.0,0.0,,,,1.0,2021,Indoor
2,Texas A&M,57.0,,0.0,13.0,,,,,,10.0,,10.0,,6.0,8.0,,,10.0,2021,Indoor
3,LSU,39.0,,3.0,4.0,,,,,4.0,5.0,,8.0,10.0,5.0,,,0.0,,2021,Indoor
4,USC,35.0,8.0,5.0,10.0,,,,,3.0,8.0,,1.0,,0.0,,,,,2021,Indoor
5,Georgia,31.0,,,,,,3.0,,0.0,,,6.0,8.0,1.0,5.0,,,8.0,2021,Indoor
6,Florida,30.0,0.0,,6.0,3.0,0.0,,,0.0,3.0,3.0,,,8.0,3.0,,,4.0,2021,Indoor
7,BYU,29.0,,,,4.0,3.0,12.0,,,,10.0,,,,,,,0.0,2021,Indoor
8,Texas,25.0,0.0,6.0,1.0,,,,,6.0,0.0,,,,10.0,,,,2.0,2021,Indoor
9,Baylor,24.0,,0.0,,10.0,,,,10.0,1.0,,,3.0,,,,,,2021,Indoor
10,Auburn,20.0,,,,,,6.0,10.0,,,,,,,,,4.0,,2021,Indoor
11,Ohio State,18.0,,4.0,,,4.0,0.0,,,,,,,,,10.0,,,2021,Indoor
11,Texas Tech,18.0,,,,,,,,,,,,,7.0,10.0,1.0,0.0,,2021,Indoor
13,Kentucky,17.0,0.0,10.0,0.0,,0.0,,,0.0,4.0,,,,,,,,3.0,2021,Indoor
14,Virginia Tech,15.0,,,,5.0,,,,,,0.0,,5.0,,,5.0,,,2021,Indoor
15,Oregon,14.0,10.0,,,,2.0,,0.0,2.0,,0.0,,,,0.0,,,0.0,2021,Indoor
16,Alabama,13.0,5.0,8.0,,,,,,,,0.0,,,,,0.0,,,2021,Indoor
16,Florida State,13.0,0.0,,,,,1.0,0.0,,,6.0,,,,6.0,,,,2021,Indoor
16,Notre Dame,13.0,,,,,,0.0,,,,,,,,,,8.0,5.0,2021,Indoor
19,Ole Miss,12.0,,,,,,,,,,1.0,,,,,,11.0,,2021,Indoor
20,South Carolina,10.0,,,,,,,,0.0,2.0,,8.0,,,,,,,2021,Indoor
20,Arizona,10.0,,,,,,,,,,,2.0,,,,8.0,,,2021,Indoor
20,Colorado,10.0,,,,,10.0,,,,,,,,,,,,,2021,Indoor
20,Louisville,10.0,,,,,,,,,,,,0.0,,,,10.0,,2021,Indoor
24,Minnesota,9.0,0.0,1.0,,,,,8.0,,0.0,,,,,,,0.0,0.0,2021,Indoor
24,NC State,9.0,,,,,,0.0,7.0,,,2.0,,,,,,,,2021,Indoor
24,Oklahoma State,9.0,,,,,,,,,,5.0,,4.0,,,,,,2021,Indoor
24,Clemson,9.0,,0.0,,8.0,,,,1.0,,,,,,,,,,2021,Indoor
24,Miami (Fla.),9.0,4.0,,,0.0,,,,5.0,,,,,,,,0.0,,2021,Indoor
29,Arizona State,6.0,,,,,,,,,,,,0.0,,,6.0,,,2021,Indoor
29,Duke,6.0,,,,0.0,,,,0.0,,,,,,,,,6.0,2021,Indoor
29,High Point,6.0,,,,,,,,,,,,6.0,,,,,,2021,Indoor
29,Norfolk State,6.0,6.0,,,,,,,,,,,,,,,,,2021,Indoor
33,Air Force,5.0,,,,,,,5.0,,,,,,,,,,,2021,Indoor
33,UMass Lowell,5.0,,,,,5.0,,,,,,,,,,,,,2021,Indoor
35,Michigan,4.0,,,,,,,0.0,,,4.0,,,,,,,,2021,Indoor
35,North Dakota State,4.0,,,,,,0.0,,,,,,,,,4.0,0.0,,2021,Indoor
35,Providence,4.0,,,,,,,4.0,,,,,,,,,,,2021,Indoor
35,Stephen F. Austin,4.0,,,,,,,,,,,4.0,,,,,,,2021,Indoor
35,Washington St.,4.0,,,,,,,,,,,,,,4.0,,,,2021,Indoor
40,Tennessee,3.0,3.0,,,,,,,,0.0,,,0.0,,,0.0,,,2021,Indoor
