place,team,total_points,100,200,400,800,1500,3000SC,5000,10000,100H,400H,4x1R,4x4R,HJ,PV,LJ,TJ,SP,DT,HT,JT,Hep,year,season
1,USC,74.0,10.0,7.0,13.0,,,,,,10.0,10.0,10.0,8.0,5.0,,,1.0,,,0.0,,,2021,Outdoor
2,Texas A&M,63.0,,,14.0,,,,,,0.0,,0.0,10.0,14.0,,10.0,5.0,,,,,10.0,2021,Outdoor
3,Georgia,37.5,,,,0.0,,,0.0,,,,,,5.5,4.0,6.0,10.0,,,,10.0,2.0,2021,Outdoor
4,N. Carolina A&T,31.0,10.0,10.0,,,,,,,5.0,,6.0,0.0,0.0,,,,,,,,,2021,Outdoor
4,Alabama,31.0,6.0,8.0,0.0,,2.0,0.0,4.0,8.0,,,3.0,0.0,,,,,0.0,,,,,2021,Outdoor
6,LSU,28.5,0.0,5.0,0.0,0.0,,,,,0.0,4.0,8.0,0.0,1.5,10.0,0.0,,,,0.0,,,2021,Outdoor
7,Florida,28.0,,,9.0,6.0,,,,,5.0,,,5.0,,,3.0,0.0,,,,0.0,,2021,Outdoor
7,Texas,28.0,,1.0,3.0,,,,,,0.0,,4.0,4.0,,,10.0,0.0,0.0,,,,6.0,2021,Outdoor
9,Arizona State,22.0,,,,,,,,,,,,,,,,,0.0,10.0,4.0,8.0,,2021,Outdoor
10,BYU,20.0,,,,5.0,10.0,5.0,0.0,,,,,0.0,0.0,,,,,,,,,2021,Outdoor
11,Ohio State,19.0,0.0,6.0,,,,,,,,,0.0,,,,,,11.0,0.0,2.0,,0.0,2021,Outdoor
11,Oregon,19.0,5.0,,,,,0.0,,10.0,,,0.0,,,,4.0,0.0,,,,0.0,,2021,Outdoor
11,Texas Tech,19.0,,,,,,,,,,,0.0,0.0,,2.0,1.0,10.0,,6.0,,,0.0,2021,Outdoor
14,Florida State,18.0,3.0,,,,0.0,,,,,,5.0,,,,,4.0,,5.0,,1.0,,2021,Outdoor
15,Arkansas,17.0,0.0,0.0,,0.0,4.0,,0.0,5.0,0.0,,0.0,0.0,,8.0,0.0,,,,,,,2021,Outdoor
16,Virginia,16.0,,,,10.0,,,,,,6.0,0.0,0.0,,,0.0,,0.0,,,,,2021,Outdoor
16,Air Force,16.0,,,,,,10.0,,6.0,,,,,,,,,,,,,,2021,Outdoor
18,South Carolina,15.0,,,0.0,,,,,,,2.0,,3.0,10.0,,,,,,,,,2021,Outdoor
19,Miami (Fla.),14.0,4.0,2.0,,0.0,,,,,,,,0.0,,,,,,,,,8.0,2021,Outdoor
19,Washington,14.0,,,,,0.0,6.0,0.0,4.0,,0.0,,,,,,,,,,,4.0,2021,Outdoor
21,Kentucky,13.0,1.0,,0.0,,0.0,,,,3.0,8.0,0.0,1.0,0.0,,,,,,0.0,,,2021,Outdoor
21,North Dakota State,13.0,,,,,,,,,,,,,,,,,6.0,,3.0,4.0,,2021,Outdoor
